									
Millis	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3
0	84	49	26	87	65	37	95	64	39
5	81	50	27	87	65	37	95	64	39
11	88	51	26	87	65	37	95	64	39
16	88	50	26	86	64	37	95	64	38
22	81	50	26	87	64	36	95	64	39
27	90	48	27	87	65	37	95	64	39
33	86	50	27	88	64	36	95	64	38
38	91	50	26	86	64	37	95	64	39
45	90	51	27	87	64	37	95	64	39
50	84	50	27	87	65	37	95	64	39
56	85	51	26	87	64	37	94	64	39
61	84	50	27	86	64	37	94	64	39
67	76	51	26	87	64	37	94	64	39
72	84	50	27	87	65	37	94	64	40
78	81	49	26	87	64	36	93	64	40
84	88	49	27	86	65	37	94	64	40
90	83	50	27	87	64	36	93	64	38
95	84	51	27	87	64	36	93	64	40
101	87	51	25	87	64	36	94	64	40
106	78	51	26	87	64	36	93	64	40
112	87	50	26	87	65	36	93	65	40
117	82	49	27	87	64	36	93	64	39
123	85	49	27	87	65	36	93	65	39
129	89	50	26	86	64	36	93	65	39
135	84	50	27	87	64	35	93	65	39
140	82	51	27	87	64	35	93	65	39
146	83	49	27	86	65	36	93	65	38
151	84	50	27	87	64	36	93	65	39
157	82	50	26	87	64	35	93	65	39
162	84	49	26	86	64	36	93	65	38
169	85	50	26	87	64	36	93	65	38
174	84	50	26	87	64	36	93	65	38
180	87	51	26	87	64	35	93	65	38
185	94	49	26	87	64	36	93	65	38
191	94	51	26	86	64	36	93	65	38
196	87	51	26	87	64	36	93	65	38
202	87	51	27	87	64	36	94	65	38
207	76	49	27	87	64	36	94	64	39
214	84	51	26	87	64	36	94	64	39
219	76	51	27	87	64	36	94	64	38
225	86	50	26	87	64	36	94	64	39
230	81	52	27	87	64	36	94	64	39
236	89	50	27	86	64	37	94	64	39
241	89	52	26	86	63	36	95	64	39
247	86	49	27	86	64	37	95	64	39
252	88	51	26	87	63	37	95	64	39
259	87	51	26	87	64	37	95	64	38
264	86	51	26	86	63	37	95	63	39
270	85	50	27	87	64	37	96	63	39
275	85	50	27	86	63	37	96	63	38
281	89	51	27	87	63	37	96	63	38
286	86	50	28	86	63	38	96	63	38
292	81	51	27	87	63	36	97	63	38
298	82	49	27	87	63	37	97	63	38
304	86	50	27	86	63	37	97	63	38
309	84	50	27	87	63	37	97	63	38
315	89	51	26	87	62	37	97	62	38
320	92	50	26	86	63	37	97	62	38
326	86	50	27	87	62	37	98	62	38
331	82	50	27	86	63	38	98	62	39
337	84	51	26	86	62	38	98	62	38
343	88	50	27	86	63	38	98	62	38
349	83	51	27	86	62	38	98	62	39
354	83	49	28	87	62	38	98	62	39
360	83	50	27	87	63	37	98	62	39
365	78	50	26	86	62	38	98	62	39
371	84	50	26	87	62	38	98	62	39
376	89	51	26	86	61	38	97	62	39
383	87	50	25	87	61	37	97	62	39
388	85	49	27	86	62	38	97	62	39
394	86	50	28	87	62	38	97	62	39
399	85	50	26	86	61	38	97	62	39
405	83	51	26	87	61	37	97	62	39
410	91	49	25	87	62	38	97	63	40
416	91	51	27	87	62	37	96	63	39
421	86	50	27	87	62	37	96	63	40
428	88	50	26	86	62	37	96	63	39
433	85	49	27	87	62	37	96	63	39
439	86	50	27	86	61	36	95	63	39
444	82	50	27	87	61	36	96	63	39
450	80	50	26	87	62	36	96	63	39
455	85	51	27	87	61	36	95	63	39
461	90	50	27	86	62	36	96	63	38
466	84	50	27	87	62	35	95	63	38
473	89	49	27	87	62	36	96	64	39
478	84	50	26	87	61	36	95	64	38
484	83	51	26	86	61	36	95	64	39
489	80	50	26	87	62	36	95	64	38
495	89	50	26	87	62	36	95	64	38
500	79	50	26	87	62	36	95	64	39
506	79	49	26	86	62	36	95	64	39
512	84	50	26	87	61	36	95	64	39
518	85	49	27	86	62	37	96	64	39
523	86	50	26	87	62	37	96	64	38
529	87	51	26	87	61	36	96	64	39
534	86	51	26	86	62	37	96	63	39
540	86	50	26	87	61	36	96	63	39
545	88	49	26	86	61	37	96	63	39
551	84	49	25	87	61	37	96	63	39
557	84	49	28	86	61	37	96	63	39
563	90	50	26	86	62	37	97	63	39
568	81	51	26	87	60	37	97	63	39
574	86	50	27	86	62	38	97	63	40
579	86	50	27	87	61	37	97	63	38
585	85	50	26	86	61	37	97	62	39
590	91	50	26	87	62	37	98	63	39
597	81	50	26	86	61	37	98	62	39
602	85	51	27	87	62	37	98	62	39
608	86	49	27	86	62	38	97	62	39
613	89	50	27	87	62	37	98	62	39
619	84	50	26	86	61	38	97	62	39
624	89	50	26	87	62	37	98	62	39
630	90	51	27	86	62	38	98	62	39
635	90	50	27	87	62	37	97	62	39
642	88	50	26	86	61	38	97	62	39
647	80	50	26	87	62	37	97	62	39
653	85	49	27	87	62	39	97	62	39
659	84	50	26	86	62	38	97	62	40
664	89	50	26	86	62	38	96	62	39
670	82	50	27	86	62	38	97	62	39
675	78	50	27	87	62	37	96	62	39
682	86	50	27	86	62	37	96	62	39
687	86	50	26	87	63	37	96	63	39
693	81	51	26	86	62	38	96	63	39
698	82	51	27	86	62	37	96	63	38
704	81	51	26	87	63	37	96	63	39
709	85	50	26	87	63	37	96	63	39
715	86	51	26	87	63	36	96	63	38
720	87	51	26	86	63	37	96	63	38
727	89	50	26	86	63	37	96	63	38
732	86	51	27	87	63	36	96	63	38
738	89	50	25	86	63	37	96	63	38
743	85	50	26	87	63	36	95	63	38
749	85	50	27	86	64	37	95	63	38
754	87	51	26	87	63	36	96	64	38
760	83	50	27	87	64	36	95	64	38
766	79	50	27	87	63	36	95	64	38
772	82	50	28	87	64	36	95	64	38
777	85	49	27	86	63	37	95	64	38
783	79	50	26	87	63	36	95	64	38
788	88	49	27	86	64	37	95	64	38
794	83	51	26	87	64	36	95	64	39
799	74	50	26	87	64	36	95	64	39
805	84	50	26	87	63	36	95	64	39
811	88	51	26	87	64	37	95	64	39
817	84	51	26	87	64	36	94	64	39
822	80	51	27	86	63	37	94	64	39
828	79	50	26	87	64	36	94	64	39
833	87	50	27	87	64	37	94	64	39
839	86	50	26	87	64	36	94	64	39
844	85	49	27	87	64	36	94	64	40
850	80	50	26	87	64	37	94	64	40
856	91	49	26	87	64	36	93	64	39
862	88	50	26	87	64	36	93	64	39
867	86	50	26	87	64	36	93	64	39
873	85	51	27	87	64	36	93	65	39
878	77	49	27	87	65	36	93	64	39
884	85	49	27	87	64	36	93	65	39
889	78	50	27	87	64	35	93	65	39
896	86	50	27	87	65	36	93	65	39
901	84	51	27	87	65	36	93	64	39
907	88	50	26	87	64	36	93	65	40
912	88	51	27	87	64	36	93	65	38
918	85	51	26	87	64	35	93	65	38
924	84	51	26	87	64	36	93	65	40
929	80	51	26	87	64	36	93	64	38
935	89	50	26	86	64	36	93	64	39
941	80	50	26	87	64	36	93	64	39
947	79	50	26	86	64	37	93	64	39
952	85	49	27	87	65	36	94	64	39
958	83	50	26	87	64	36	94	64	39
963	77	50	27	87	64	36	94	64	39
969	86	51	26	87	64	37	94	64	40
975	86	49	27	87	65	37	94	64	39
981	87	51	26	87	63	37	94	64	40
987	81	50	26	87	64	37	94	64	40
992	91	51	27	87	64	37	95	64	39
998	79	50	27	86	64	38	95	64	39
1003	89	52	27	87	64	37	95	64	39
1009	82	50	28	86	64	37	95	64	39
1014	93	50	26	86	64	37	95	64	39
1020	89	52	27	86	64	37	95	64	38
1027	85	51	27	86	64	37	95	64	39
1032	93	50	26	87	64	37	95	64	39
1038	82	50	27	87	65	37	95	64	38
1043	84	52	26	87	63	36	95	64	39
1049	87	50	28	86	65	37	95	64	39
1054	92	50	26	87	65	37	94	64	39
1060	90	51	26	86	64	37	94	64	39
1066	87	50	26	86	65	37	94	64	39
1072	92	51	26	87	64	37	94	64	39
1078	86	50	26	87	64	37	94	64	40
1083	82	50	27	87	64	37	94	64	39
1089	78	50	27	86	65	37	94	64	40
1094	92	49	27	86	64	37	93	64	39
1100	85	50	26	87	64	36	94	64	40
1105	80	50	27	86	64	37	94	64	40
1112	88	50	26	87	65	37	93	64	40
1117	85	50	26	87	64	36	93	64	39
1123	87	50	26	87	64	36	93	64	39
1129	81	50	26	87	64	36	93	65	40
1134	79	50	28	87	64	36	93	65	39
1140	86	51	25	86	64	36	93	65	39
1145	89	50	25	87	64	36	93	65	39
1152	84	50	26	87	64	36	93	65	39
1157	90	49	27	87	65	36	93	65	39
1163	90	49	26	87	64	36	93	65	39
1168	85	50	26	87	64	35	93	65	39
1174	90	50	28	86	65	36	93	65	38
1180	83	49	27	87	64	36	93	65	38
1185	82	51	27	87	64	36	93	65	38
1191	88	51	25	87	64	36	93	65	38
1197	87	51	26	87	64	35	93	65	38
1203	89	50	27	86	64	36	93	65	38
1208	83	50	27	86	64	36	94	65	38
1214	83	51	27	87	64	36	94	65	39
1219	82	50	27	87	64	36	94	65	39
1225	94	49	25	87	64	36	94	64	38
1230	80	51	26	87	64	36	94	65	39
1237	82	50	27	86	64	37	94	64	38
1243	79	52	26	87	63	36	94	64	38
1248	89	50	26	86	64	37	94	64	39
1254	93	51	25	87	63	36	95	64	39
1259	89	49	26	86	64	37	95	64	38
1265	85	50	26	87	63	36	95	64	39
1270	85	50	27	87	64	37	95	64	39
1276	84	52	26	86	63	37	95	63	39
1282	83	50	27	87	63	36	95	63	38
1288	82	49	26	86	62	38	96	63	38
1293	88	51	26	87	63	37	96	63	39
1299	86	50	26	86	63	37	96	63	38
1305	87	51	26	87	63	37	96	63	38
1310	81	50	27	87	63	37	97	63	38
1316	86	49	27	87	63	37	97	63	38
1322	88	50	27	87	62	37	97	63	38
1328	92	50	27	87	62	37	97	62	38
1333	91	50	27	87	63	38	97	62	38
1339	81	49	27	87	63	37	97	62	38
1344	82	49	27	86	62	38	98	62	39
1350	87	50	27	87	62	37	98	62	39
1355	93	50	26	86	62	39	98	62	39
1361	88	50	26	87	62	37	98	62	39
1367	90	50	26	86	62	38	98	62	39
1373	94	51	26	87	62	38	98	62	39
1378	85	50	26	87	62	38	98	62	39
1384	86	50	27	86	62	38	98	62	39
1390	78	50	26	88	62	37	97	62	39
1395	86	49	27	86	62	39	97	62	40
1401	73	52	27	87	61	37	97	62	40
1407	78	50	27	86	61	38	97	62	40
1413	84	51	27	87	62	38	97	62	40
1418	83	49	27	86	62	38	97	62	39
1424	83	50	27	86	61	37	96	62	39
1429	86	51	27	87	62	37	97	63	40
1435	85	51	27	87	62	37	97	63	39
1440	85	49	27	86	62	37	96	63	40
1446	85	51	26	86	62	37	96	63	39
1453	87	50	27	87	61	37	96	63	39
1458	88	49	26	87	61	36	96	63	39
1464	88	50	25	87	61	36	96	63	39
1469	84	51	26	87	61	36	95	63	39
1475	86	50	27	87	62	36	96	63	39
1480	81	51	26	87	62	35	95	64	39
1486	86	50	27	86	61	36	95	64	38
1492	89	50	27	87	61	36	96	64	39
1498	88	51	26	87	61	36	95	64	38
1503	89	51	26	86	62	36	95	64	39
1509	87	50	26	86	62	36	95	64	39
1515	88	50	27	87	62	36	95	64	38
1520	84	50	26	86	62	36	95	64	39
1526	82	51	27	87	61	36	95	64	39
1531	87	50	27	87	62	37	96	64	39
1538	90	50	27	87	61	36	96	64	39
1543	83	52	26	87	61	36	96	64	39
1549	89	49	27	86	61	37	96	63	39
1554	92	50	27	87	62	37	96	63	39
1560	86	50	26	86	61	37	96	63	39
1565	85	50	27	86	61	37	97	63	39
1571	82	50	27	87	62	37	97	63	39
1578	82	50	27	87	61	38	97	63	39
1583	85	51	26	87	62	37	97	63	40
1589	82	50	27	86	61	38	97	63	38
1594	92	50	27	87	62	37	98	62	39
1600	98	50	26	86	62	38	98	62	39
1605	84	50	26	86	61	37	98	62	39
1611	80	51	27	87	62	37	98	62	39
1616	86	51	27	86	61	38	98	62	39
1623	79	51	26	87	61	37	98	62	39
1628	86	50	27	86	61	38	98	62	39
1634	83	50	26	87	62	37	98	62	39
1640	87	50	26	85	61	38	97	62	39
1645	81	51	27	87	62	37	97	62	39
1651	85	51	26	86	62	39	97	62	39
1656	83	50	27	88	62	37	97	62	39
1663	85	50	27	87	62	38	97	62	39
1668	80	50	26	87	62	37	97	62	39
1674	80	50	27	87	62	38	97	62	40
1679	81	50	27	86	61	37	97	62	39
1685	83	50	27	86	62	37	97	62	39
1691	86	51	27	87	62	38	97	63	39
1696	85	50	28	87	63	37	96	62	39
1702	82	50	27	86	62	37	96	62	39
1708	89	50	26	86	63	37	96	63	39
1714	92	51	27	87	63	37	96	63	39
1719	85	51	27	87	62	37	96	63	38
1725	81	50	27	87	63	37	96	63	38
1730	81	51	26	87	62	37	96	63	38
1736	81	51	27	87	63	36	96	63	38
1742	88	51	26	86	63	37	95	63	38
1748	86	50	25	87	63	36	95	63	38
1754	89	50	28	86	63	37	96	64	38
1759	84	52	26	87	63	36	95	63	38
1765	77	50	27	86	64	37	95	63	38
1770	83	50	27	87	63	36	95	64	38
1776	86	50	27	86	64	37	95	64	37
1781	95	51	27	86	63	36	95	64	38
1787	79	50	27	87	64	36	95	64	38
1793	91	49	29	87	64	37	95	64	38
1799	86	51	26	87	63	36	95	64	38
1804	89	50	27	86	64	37	95	64	38
1810	85	51	26	87	63	36	95	64	39
1816	87	51	26	87	64	36	95	64	39
1821	86	51	26	87	63	36	95	64	39
1827	72	50	27	87	63	37	94	64	39
1833	84	49	27	87	64	37	94	64	39
1839	79	50	27	86	63	37	94	64	39
1844	77	48	28	87	64	36	94	64	39
1850	83	49	28	87	64	37	94	64	39
1855	87	50	26	87	65	37	94	64	39
1861	85	50	26	86	63	36	94	64	40
1866	84	51	26	86	64	36	93	64	39
1872	89	50	27	87	64	37	93	65	39
1878	87	50	26	87	64	36	93	64	39
1884	87	51	26	86	64	36	93	65	39
1890	83	51	26	87	64	35	93	65	40
1895	91	49	27	86	65	36	93	64	38
1901	81	50	26	87	64	35	93	64	39
1906	80	49	26	87	64	36	93	65	39
1912	87	50	26	87	65	36	93	65	39
1918	89	49	27	86	64	36	93	64	38
1924	85	49	27	87	64	36	93	65	38
1929	81	49	26	87	65	36	93	65	40
1935	89	51	27	87	65	36	93	65	39
1940	89	50	26	86	65	36	93	64	38
1946	91	50	26	87	64	36	94	64	39
1952	88	51	26	87	65	36	93	64	39
1957	82	50	26	86	64	36	93	64	39
1964	83	50	25	87	64	36	94	64	39
1969	87	50	25	87	64	37	94	64	40
1975	86	51	27	87	64	37	94	64	40
1980	82	51	26	87	64	37	94	64	40
1986	84	50	26	86	64	37	94	64	39
1991	75	50	28	87	64	37	95	64	40
1997	92	49	27	86	64	38	94	64	39
2004	85	52	26	87	64	37	95	64	40
2009	86	51	27	86	64	37	95	64	39
2015	87	50	26	87	65	37	95	64	39
2020	86	51	26	86	64	37	95	64	39
2026	85	52	26	87	64	37	95	64	39
2031	89	51	26	87	65	37	95	64	39
2037	88	50	25	87	64	37	95	64	38
2042	79	49	27	87	65	37	95	64	39
2049	80	49	26	86	64	37	95	64	39
2055	88	52	25	87	64	36	95	64	39
2060	88	50	26	86	64	37	95	64	39
2066	83	51	27	87	65	37	95	64	39
2071	86	50	27	86	64	38	95	64	39
2077	83	50	26	87	64	36	95	64	39
2082	81	50	26	87	64	36	94	64	39
2089	85	50	26	87	64	37	94	64	39
2094	85	51	26	87	65	37	94	64	40
2100	79	50	26	87	64	37	94	64	39
2106	87	50	26	86	64	37	94	64	40
2111	87	50	27	87	64	37	93	64	39
2117	91	50	27	87	64	37	93	64	41
2122	92	49	26	87	65	37	93	64	40
2128	86	48	26	87	65	36	93	64	39
2134	88	49	27	87	64	37	93	64	39
2140	76	49	27	87	64	36	93	64	39
2145	82	50	27	87	64	36	93	65	39
2151	92	49	27	86	65	36	93	65	40
2157	86	50	26	87	64	36	93	65	39
2162	85	51	27	87	64	36	93	65	39
2168	83	50	26	87	65	35	93	65	39
2174	85	50	27	87	65	36	93	65	39
2180	85	51	27	87	64	35	93	65	39
2185	80	50	28	86	65	35	93	65	39
2191	86	49	27	87	64	36	93	65	38
2196	88	50	27	87	64	36	93	65	39
2202	83	51	25	86	64	35	93	65	38
2208	86	50	26	87	64	35	93	65	38
2213	86	50	27	87	65	36	93	65	38
2220	86	50	26	87	64	36	93	65	38
2225	85	51	26	87	64	36	94	65	39
2231	82	51	27	87	64	35	94	65	39
2236	86	50	27	87	64	36	94	65	38
2242	85	52	26	87	63	36	94	64	38
2247	79	50	26	87	64	36	94	64	38
2253	87	51	27	86	64	37	94	64	38
2260	83	50	27	87	64	36	94	64	38
